tweet_id,Retweets_count,Favorites_count,Date_time
892420643555336193,7493,35483,2017-08-01 16:23:56
892177421306343426,5560,30709,2017-08-01 00:17:27
891815181378084864,3681,23088,2017-07-31 00:18:03
891689557279858688,7670,38777,2017-07-30 15:58:51
891327558926688256,8275,37040,2017-07-29 16:00:24
891087950875897856,2771,18678,2017-07-29 00:08:17
890971913173991426,1799,10857,2017-07-28 16:27:12
890729181411237888,16782,59815,2017-07-28 00:22:40
890609185150312448,3824,25691,2017-07-27 16:25:51
890240255349198849,6514,29341,2017-07-26 15:59:51
890006608113172480,6518,28266,2017-07-26 00:31:25
889880896479866881,4435,25714,2017-07-25 16:11:53
889665388333682689,8893,44199,2017-07-25 01:55:32
889638837579907072,3974,24854,2017-07-25 00:10:02
889531135344209921,2009,13975,2017-07-24 17:02:04
889278841981685760,4741,23201,2017-07-24 00:19:32
888917238123831296,3991,26823,2017-07-23 00:22:39
888804989199671297,3764,23532,2017-07-22 16:56:37
888554962724278272,3075,18154,2017-07-22 00:23:06
888078434458587136,3084,20043,2017-07-20 16:49:33
887705289381826560,4801,27879,2017-07-19 16:06:48
887517139158093824,10471,42702,2017-07-19 03:39:09
887473957103951883,15996,63264,2017-07-19 00:47:34
887343217045368832,9361,31014,2017-07-18 16:08:03
887101392804085760,5302,28216,2017-07-18 00:07:08
886983233522544640,6799,32062,2017-07-17 16:17:36
886736880519319552,2835,11007,2017-07-16 23:58:41
886680336477933568,3988,20720,2017-07-16 20:14:00
886366144734445568,2812,19459,2017-07-15 23:25:31
886267009285017600,4,110,2017-07-15 16:51:35
886258384151887873,5628,25754,2017-07-15 16:17:19
886054160059072513,97,0,2017-07-15 02:45:48
885984800019947520,5975,29983,2017-07-14 22:10:11
885528943205470208,5686,33104,2017-07-13 15:58:47
885518971528720385,3314,18860,2017-07-13 15:19:09
885311592912609280,16449,0,2017-07-13 01:35:06
885167619883638784,3882,20146,2017-07-12 16:03:00
884925521741709313,16049,70877,2017-07-12 00:01:00
884876753390489601,4958,25603,2017-07-11 20:47:12
884562892145688576,4183,22382,2017-07-11 00:00:02
884441805382717440,5076,24957,2017-07-10 15:58:53
884247878851493888,18060,66726,2017-07-10 03:08:17
884162670584377345,2661,18799,2017-07-09 21:29:42
883838122936631299,3036,20108,2017-07-09 00:00:04
883482846933004288,8784,42193,2017-07-08 00:28:19
883360690899218434,3279,20878,2017-07-07 16:22:55
883117836046086144,5915,34127,2017-07-07 00:17:54
882992080364220416,3454,21992,2017-07-06 15:58:11
882762694511734784,4343,26007,2017-07-06 00:46:41
882627270321602560,5401,25804,2017-07-05 15:48:34
882268110199369728,10305,41249,2017-07-04 16:01:23
882045870035918850,4333,26997,2017-07-04 01:18:17
881906580714921986,3027,22429,2017-07-03 16:04:48
881666595344535552,9499,46670,2017-07-03 00:11:11
881633300179243008,7,116,2017-07-02 21:58:53
881536004380872706,14240,45546,2017-07-02 15:32:16
881268444196462592,4712,21454,2017-07-01 21:49:04
880935762899988482,2490,15762,2017-06-30 23:47:07
880872448815771648,3412,19614,2017-06-30 19:35:32
880465832366813184,5530,26208,2017-06-29 16:39:47
880221127280381952,3700,24822,2017-06-29 00:27:25
880095782870896641,3875,25448,2017-06-28 16:09:20
879862464715927552,3102,20618,2017-06-28 00:42:13
879674319642796034,10,292,2017-06-27 12:14:36
879492040517615616,2832,21641,2017-06-27 00:10:17
879415818425184262,39727,97457,2017-06-26 19:07:24
879376492567855104,2789,15515,2017-06-26 16:31:08
879130579576475649,6067,0,2017-06-26 00:13:58
879050749262655488,4188,20781,2017-06-25 18:56:45
879008229531029506,2387,17541,2017-06-25 16:07:47
878776093423087618,3646,17863,2017-06-25 00:45:22
878604707211726852,6301,27743,2017-06-24 13:24:20
878404777348136964,1135,0,2017-06-24 00:09:53
878316110768087041,5922,0,2017-06-23 18:17:33
878281511006478336,1135,7131,2017-06-23 16:00:04
878057613040115712,6067,38841,2017-06-23 01:10:23
877736472329191424,16884,73003,2017-06-22 03:54:17
